# Historical release → commit map, used only by .github/workflows/release.yml
# to place BACKFILLED tags at the commit that shipped each version.
#
# Releases stopped being cut after v0.5 while the plugin kept shipping (the
# manifest reached 0.15.2). This file pins every documented CHANGELOG version
# between the v0.5 tag and now to the last commit that carried that version,
# so the one-time backfill tags each release at its real historical commit
# instead of at HEAD.
#
# The workflow only reads this for versions that have no release yet, so once a
# version is released the row is inert. New versions do NOT need a row here —
# the workflow tags them at the merge commit that bumped the manifest. This
# file is a frozen record of pre-automation history; leave it as-is.
#
# SHAs are full 40-char: `gh release create --target` (and the releases API's
# target_commitish) rejects abbreviated SHAs. The workflow re-resolves via
# `git rev-parse` anyway, so it also tolerates short SHAs — full is for clarity.
#
# Format: <changelog-tag><TAB><commit>   (comments and blank lines ignored)
v0.5.1	b1d3cb6ae94c52910df2cb3d6cc2d17a72561cd2
v0.5.2	06b97242980ec1c47f3edbace4377f8daf280709
v0.6	7392d4e6e58dd883e78db6319a379b6a1a808de6
v0.6.1	2096bf4a2c5c04b41b002fdcb23e3286bc219b05
v0.7	9fe5a605776a089be2eebc393b366c072e4d1665
v0.8	9877e9272192e9ee13381f663d9f938df879fda9
v0.8.1	aeeaee5ef4b151ebdfdfbde5d95eb681c6098366
v0.8.2	1d96aab0be391845190f186f78323949060dcc09
v0.8.3	b216b5f50a639ddf289e5404bb56b77ccf43aecd
v0.9	0301e4c017e6779681a09731b0eccc091f57f7ce
v0.9.1	5482cb7961b34b1b0aecec48191219c38d58cf7d
v0.10	10663145f0eb2e8af7e31c7a04de4b1a89c7bdf2
v0.11	de54d68bd168b365f9db8b6f8b5c95feb0b5c4f9
v0.12	b26204929e2e75e69aca14c01ff3049cf15cf664
v0.13	935c79a049417b31f37b33bd6cd54d260954c61a
v0.14	571f835b2b076ccc3138592d8e89f1c66ec146c5
v0.15	6420ba2d9d760159bad5a047a60b6bc782c6b809
v0.15.1	64e45960c1aaae17a8811ad0098830726db38a00
v0.15.2	d6303e500615922d746495f62e3ede5caeece84e
